# date=2026-09-16T00:59:06,gpu=NVIDIA GeForce RTX 3090,driver=616.56,git=6a86c42+dirty,args=--n 8..26
impl,op,n,block_size,run,ms,ok
cpu,scan,524288,0,4,0.221100,1
cpu,scan,1048576,0,0,0.443700,1
cpu,scan,1048576,0,1,0.436400,1
cpu,scan,1048576,0,2,0.435400,1
cpu,scan,1048576,0,3,0.444200,1
cpu,scan,1048576,0,4,0.442700,1
cpu,scan,2097152,0,0,0.919800,1
cpu,scan,2097152,0,1,0.917900,1
cpu,scan,2097152,0,2,0.901300,1
cpu,scan,2097152,0,3,0.903600,1
cpu,scan,2097152,0,4,0.891300,1
cpu,scan,4194304,0,0,1.856400,1
cpu,scan,4194304,0,1,1.905400,1
cpu,scan,4194304,0,2,1.945100,1
cpu,scan,4194304,0,3,1.868200,1
cpu,scan,4194304,0,4,1.868000,1
cpu,scan,8388608,0,0,3.809600,1
cpu,scan,8388608,0,1,3.836600,1
cpu,scan,8388608,0,2,3.844000,1
cpu,scan,8388608,0,3,3.967900,1
cpu,scan,8388608,0,4,3.924900,1
cpu,scan,16777216,0,0,7.701900,1
cpu,scan,16777216,0,1,7.954100,1
cpu,scan,16777216,0,2,7.684100,1
cpu,scan,16777216,0,3,7.997800,1
cpu,scan,16777216,0,4,7.685600,1
cpu,scan,33554432,0,0,15.440700,1
cpu,scan,33554432,0,1,15.395600,1
cpu,scan,33554432,0,2,15.357700,1
cpu,scan,33554432,0,3,15.460500,1
cpu,scan,33554432,0,4,15.391400,1
cpu,scan,67108864,0,0,30.497299,1
cpu,scan,67108864,0,1,30.866501,1
cpu,scan,67108864,0,2,31.954500,1
cpu,scan,67108864,0,3,32.188900,1
cpu,scan,67108864,0,4,31.518299,1
cpu,compact,256,0,0,0.000300,1
cpu,compact,256,0,1,0.000200,1
cpu,compact,256,0,2,0.000200,1
cpu,compact,256,0,3,0.000300,1
cpu,compact,256,0,4,0.000300,1
cpu,compact,512,0,0,0.000500,1
cpu,compact,512,0,1,0.000500,1
cpu,compact,512,0,2,0.000500,1
cpu,compact,512,0,3,0.000400,1
cpu,compact,512,0,4,0.000400,1
cpu,compact,1024,0,0,0.000700,1
cpu,compact,1024,0,1,0.000500,1
cpu,compact,1024,0,2,0.000500,1
cpu,compact,1024,0,3,0.000500,1
cpu,compact,1024,0,4,0.000400,1
cpu,compact,2048,0,0,0.001400,1
cpu,compact,2048,0,1,0.001100,1
cpu,compact,2048,0,2,0.001000,1
cpu,compact,2048,0,3,0.001000,1
cpu,compact,2048,0,4,0.001000,1
cpu,compact,4096,0,0,0.002700,1
cpu,compact,4096,0,1,0.002500,1
cpu,compact,4096,0,2,0.002200,1
cpu,compact,4096,0,3,0.002100,1
cpu,compact,4096,0,4,0.002100,1
cpu,compact,8192,0,0,0.006000,1
cpu,compact,8192,0,1,0.008300,1
cpu,compact,8192,0,2,0.004600,1
cpu,compact,8192,0,3,0.004500,1
cpu,compact,8192,0,4,0.004300,1
cpu,compact,16384,0,0,0.016700,1
cpu,compact,16384,0,1,0.017300,1
cpu,compact,16384,0,2,0.016300,1
cpu,compact,16384,0,3,0.016500,1
cpu,compact,16384,0,4,0.016700,1
cpu,compact,32768,0,0,0.040700,1
cpu,compact,32768,0,1,0.050600,1
cpu,compact,32768,0,2,0.051200,1
cpu,compact,32768,0,3,0.046100,1
cpu,compact,32768,0,4,0.044100,1
cpu,compact,65536,0,0,0.091400,1
cpu,compact,65536,0,1,0.100200,1
cpu,compact,65536,0,2,0.103900,1
cpu,compact,65536,0,3,0.092400,1
cpu,compact,65536,0,4,0.104400,1
cpu,compact,131072,0,0,0.206000,1
cpu,compact,131072,0,1,0.206300,1
cpu,compact,131072,0,2,0.186800,1
cpu,compact,131072,0,3,0.184400,1
cpu,compact,131072,0,4,0.179200,1
cpu,compact,262144,0,0,0.380500,1
cpu,compact,262144,0,1,0.389900,1
cpu,compact,262144,0,2,0.416200,1
cpu,compact,262144,0,3,0.391700,1
cpu,compact,262144,0,4,0.388400,1
cpu,compact,524288,0,0,0.812400,1
cpu,compact,524288,0,1,0.799600,1
cpu,compact,524288,0,2,0.762400,1
cpu,compact,524288,0,3,0.778800,1
cpu,compact,524288,0,4,0.767900,1
cpu,compact,1048576,0,0,1.564000,1
cpu,compact,1048576,0,1,1.612500,1
cpu,compact,1048576,0,2,1.517300,1
cpu,compact,1048576,0,3,1.535900,1
cpu,compact,1048576,0,4,1.581900,1
cpu,compact,2097152,0,0,3.071500,1
cpu,compact,2097152,0,1,3.104900,1
cpu,compact,2097152,0,2,3.130500,1
cpu,compact,2097152,0,3,3.139300,1
cpu,compact,2097152,0,4,3.060800,1
cpu,compact,4194304,0,0,6.271900,1
cpu,compact,4194304,0,1,6.146000,1
cpu,compact,4194304,0,2,6.151700,1
cpu,compact,4194304,0,3,6.213200,1
cpu,compact,4194304,0,4,6.128100,1
cpu,compact,8388608,0,0,12.306700,1
cpu,compact,8388608,0,1,12.330000,1
cpu,compact,8388608,0,2,12.380100,1
cpu,compact,8388608,0,3,12.195200,1
